Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Tipo de operación,Superficie construida,Superficie útil,Habitaciones,Baños,Tipo de casa,Antigüedad,Conservación,Referencia,Planta,Gastos de comunidad,Superficie solar,Exterior,Interior
Ático en alquiler en Calle de Villanueva,Recoletos (Distrito Salamanca. Madrid Capital),4.500,100,Anuncio actualizado el 21/05/2024,Consumo:70 kWh/m² año,Emisiones:14 Kg CO₂/m² año,Alquiler,100 m²,,2,1,,,,IF77045-I-00KE2S-W-02Q6SB,,,,,
Piso en alquiler en Entrevías,Entrevías (Distrito Puente de Vallecas. Madrid Capital),1.130,64,Anuncio actualizado el 17/07/2024,,,Alquiler,64 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1778,4ª,,,,
Apartamento en alquiler en Centro,Centro (Villaviciosa de Odón),2.000,125,Anuncio actualizado el 05/08/2024,,,Alquiler,125 m²,,3,2,,,,IF77045-I-00L1NH-W-02WNQN,2ª,,,,
Piso en alquiler en Canillejas,Canillejas (Distrito San Blas. Madrid Capital),1.010,60,Anuncio actualizado el 31/07/2024,,,Alquiler,60 m²,,3,1,,,En buen estado,SA3458-2001/20010001/382,4ª,,,,
Apartamento en alquiler en Valdemarín,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),1.600,70,Anuncio actualizado el 14/10/2024,Consumo:238 kWh/m² año,Emisiones:40 Kg CO₂/m² año,Alquiler,70 m²,,1,1,,Entre 10 y 20 años,,IF77045-I-00L3T1-W-02X8C8,,,,,
Piso en alquiler en Prosperidad,Prosperidad (Distrito Chamartín. Madrid Capital),3.400,98,Anuncio actualizado el 14/10/2024,,,Alquiler,98 m²,,3,3,,,,IF77045-I-00L3BU-W-02X5V9,7ª,,,,
Casa en alquiler en Valdecabañas,Valdecabañas (Boadilla del Monte),5.800,625,Anuncio actualizado el 19/07/2024,Consumo:246 kWh/m² año,Emisiones:42 Kg CO₂/m² año,Alquiler,625 m²,,7,8,,Entre 20 y 30 años,,IF77045-I-00KF64-W-02QT78,,,2.400 m²,,
Piso en alquiler en Arganzuela,Palos de Moguer (Distrito Arganzuela. Madrid Capital),2.100,135,Anuncio actualizado el 12/10/2024,,,Alquiler,135 m²,,3,2,,,En buen estado,XA491-2084,1ª,,,,
Chalet en alquiler en Fuente del Fresno,Dehesa Vieja-Puente Cultural (San Sebastián de los Reyes),8.750,1.064,Anuncio actualizado el 12/10/2024,,,Alquiler,1.064 m²,,6,8,,Más de 50 años,,GM34-170701,,,2 m²,,
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Plaza de Cataluña",El Viso (Distrito Chamartín. Madrid Capital),2.000,111,Anuncio actualizado el 24/10/2024,,,Alquiler,111 m²,101 m²,3,2,,Más de 50 años,En buen estado,SA2484-3248-22842,3ª,,,,
Piso en alquiler en Abrantes,Abrantes (Distrito Carabanchel. Madrid Capital),1.075,72,Anuncio actualizado el 13/08/2024,,,Alquiler,72 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1814,2ª,,,,
Piso en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),3.300,100,Anuncio actualizado el 21/05/2024,,,Alquiler,100 m²,,4,2,,,,IF77045-I-00KYZY-W-02VUKJ,5ª,,,,
Piso en alquiler en Comillas,Comillas (Distrito Carabanchel. Madrid Capital),1.150,74,Anuncio actualizado el 21/05/2024,Consumo:118 kWh/m² año,Emisiones:40 Kg CO₂/m² año,Alquiler,74 m²,,1,1,,,,IF77045-I-00K3DB-W-02NVNC,,,,,
Casa adosada en alquiler en Calle Bellatrix,Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),8.500,650,Anuncio actualizado el 14/09/2024,,,Alquiler,650 m²,,5,7,Adosada,Entre 10 y 20 años,,IF77045-I-00L23Z-W-02WTYY,,,750 m²,,
Piso en alquiler en San Isidro,San Isidro (Distrito Carabanchel. Madrid Capital),920,55,Anuncio actualizado el 17/09/2024,,,Alquiler,55 m²,,2,1,,Más de 50 años,En buen estado,SA4376-2110/21100022/283,4ª,,,,
"Apartamento en alquiler en Calle Castelló, cerca de Calle de Don Ramón de la Cruz",Castellana (Distrito Salamanca. Madrid Capital),3.600,159,Anuncio actualizado el 15/07/2024,,,Alquiler,159 m²,,3,2,,,,IF77045-I-00L10Q-W-02WFV8,6ª,,,,
Apartamento en alquiler en Calle del Conde de Aranda,Recoletos (Distrito Salamanca. Madrid Capital),2.570,40,Anuncio actualizado el 22/10/2024,,,Alquiler,40 m²,35 m²,1,1,,,,XA633-4637,,,,,
Piso en alquiler en Chamberí,Almagro (Distrito Chamberí. Madrid Capital),3.400,92,Anuncio actualizado el 24/10/2024,,,Alquiler,92 m²,,2,3,,,,XA633-5828,,,,,
"Piso en alquiler en Calle de Hortaleza, cerca de Calle de Hernán Cortés",Justicia-Chueca (Distrito Centro. Madrid Capital),3.500,104,Anuncio actualizado el 11/06/2024,,,Alquiler,104 m²,90 m²,2,2,,,,SA4312-marce_horta2h/9940,2ª,,,,
Piso en alquiler en Centro,Cortes-Huertas (Distrito Centro. Madrid Capital),1.990,60,Anuncio actualizado el 17/09/2024,,,Alquiler,60 m²,58 m²,2,1,,,,XA491-3992,3ª,,,,
Chalet en alquiler en Fuentelarreina,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),4.500,380,Anuncio actualizado el 15/10/2024,,,Alquiler,380 m²,,6,6,,Más de 50 años,,GM34-200785,,,,,
Apartamento en alquiler en El Viso,El Viso (Distrito Chamartín. Madrid Capital),2.400,49,Anuncio actualizado el 14/10/2024,,,Alquiler,49 m²,,1,1,,,,IF77045-I-00L3MJ-W-02XBSJ,,,,,
Apartamento en alquiler en La Paz,La Paz (Distrito Fuencarral-El Pardo. Madrid Capital),2.500,157,Anuncio actualizado el 15/10/2024,Consumo:131 kWh/m² año,Emisiones:27 Kg CO₂/m² año,Alquiler,157 m²,,4,2,,Entre 30 y 50 años,,IF77045-I-00L2N8-W-02WT3E,11ª,,,,
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),1.020,57,Anuncio actualizado el 22/10/2024,,,Alquiler,57 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1682,3ª,,,,
Piso en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),4.620,105,Anuncio actualizado el 21/05/2024,Consumo:56 kWh/m² año,Emisiones:11 Kg CO₂/m² año,Alquiler,105 m²,,1,2,,,,IF77045-I-00K1TR-W-02NJW4,,,,,
Estudio en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),1.200,44,Anuncio actualizado el 13/09/2024,,,Alquiler,44 m²,40 m²,1,1,,Más de 50 años,,VE112-C0141-00050,,,,,
Piso en alquiler en Avenida de Córdoba,Almendrales (Distrito Usera. Madrid Capital),895,42,Anuncio actualizado el 28/10/2024,,,Alquiler,42 m²,33 m²,,,,,,XA614-12779,9ª,,,,
Piso en alquiler en Chamberi,Ríos Rosas (Distrito Chamberí. Madrid Capital),1.200,50,Anuncio actualizado el 25/10/2024,,,Alquiler,50 m²,,2,1,,,En buen estado,XA24-2827-032167,2ª,,,,
Piso en alquiler en Numancia,Numancia (Distrito Puente de Vallecas. Madrid Capital),1.095,62,Anuncio actualizado el 12/08/2024,,,Alquiler,62 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1331,2ª,,,,
Piso en alquiler en Palomas,Palomas (Distrito Hortaleza. Madrid Capital),2.200,90,Anuncio actualizado el 21/05/2024,,,Alquiler,90 m²,,2,2,,Entre 20 y 30 años,,IF77045-I-00KW78-W-02UTN3,,,,,
Piso en alquiler en Fuencarral,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1.700,116,Anuncio actualizado el 22/10/2024,,,Alquiler,116 m²,,3,2,,,En buen estado,XA24-2805-027540,1ª,,,,
Apartamento en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),3.500,151,Anuncio actualizado el 26/09/2024,,,Alquiler,151 m²,,2,1,,,,IF77045-I-00L386-W-02WZ0L,3ª,,,,
Piso en alquiler en Calle del Arte Figurativo,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),1.400,114,Anuncio actualizado el 22/10/2024,,,Alquiler,114 m²,90 m²,3,2,,Entre 5 y 10 años,,SA4312-ARTFIG6-7B/9940,Bajo,,,,
Estudio en alquiler en Chamartin,Sol (Distrito Centro. Madrid Capital),1.600,20,Anuncio actualizado el 27/10/2024,,,Alquiler,20 m²,,1,1,,,A estrenar,XA633-4854,1ª,,,,
Estudio en alquiler en Calle del Arquitecto Gaudí,Nueva España (Distrito Chamartín. Madrid Capital),1.100,42,Anuncio actualizado el 23/10/2024,,,Alquiler,42 m²,,,1,,,En buen estado,XA633-5840,2ª,,,,
Casa en alquiler en Corpa,Corpa,650,90,Anuncio actualizado el 21/10/2024,,,Alquiler,90 m²,72 m²,3,1,,Entre 30 y 50 años,,SA5568-Corpa/11754,,,,,
Piso en alquiler en Avenida de Calatalifa,¡Vaya! Esta propiedad no tiene fotos,1.100,40,Anuncio actualizado el 17/09/2024,,,Alquiler,40 m²,38 m²,1,1,,Entre 10 y 20 años,En buen estado,4514034-13347340,Bajo,,,,
Casa en alquiler en Ciudalcampo-Fuente del Fresno,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),10.000,494,Anuncio actualizado el 10/10/2024,,,Alquiler,494 m²,,4,5,,,,IF77045-I-00L3PW-W-02XBHV,,,2.500 m²,,
"Piso en alquiler en Calle de Hortaleza, cerca de Calle de Fuencarral",Justicia-Chueca (Distrito Centro. Madrid Capital),2.500,105,Anuncio actualizado el 21/09/2024,,,Alquiler,105 m²,,2,2,,,En buen estado,XA491-2556,,,,,
Piso en alquiler en Galapagar,La Navata (Galapagar),1.650,120,Anuncio actualizado el 10/10/2024,,,Alquiler,120 m²,,4,3,,,,GM34-199184,,,,,Interior
Casa en alquiler en Calle del Monte Sollube,El Olivar de Mirabal (Boadilla del Monte),2.350,130,Anuncio actualizado el 21/10/2024,,,Alquiler,130 m²,,,2,,Entre 30 y 50 años,,IF77045-I-00L3YU-W-02XFHN,,,,,
Dúplex en alquiler en Calle Camino de Valladolid,Casco Antiguo (Torrelodones),890,50,Anuncio actualizado el 28/10/2024,,,Alquiler,50 m²,50 m²,1,1,,Entre 5 y 10 años,En buen estado,4996331-V-1A,1ª,,,,
Piso en alquiler en Valdeacederas,Valdeacederas (Distrito Tetuán. Madrid Capital),985,45,Anuncio actualizado el 14/10/2024,,,Alquiler,45 m²,,2,1,,,En buen estado,SA4647-2201/22010039/14,Bajo,,,,
Apartamento en alquiler en Imperial,Imperial (Distrito Arganzuela. Madrid Capital),1.950,101,Anuncio actualizado el 07/10/2024,Consumo:200 kWh/m² año,Emisiones:41 Kg CO₂/m² año,Alquiler,101 m²,,2,2,,Entre 20 y 30 años,,IF77045-I-00L3BY-W-02X4PW,5ª,,,,
Apartamento en alquiler en Valdemarín,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),1.950,103,Anuncio actualizado el 28/10/2024,,,Alquiler,103 m²,,2,2,,,,IF77045-I-00L478-W-02XJ2I,,,,,
Piso en alquiler en Embajadores-Lavapiés,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1.400,40,Anuncio actualizado el 28/10/2024,,,Alquiler,40 m²,37 m²,1,1,,Entre 20 y 30 años,En buen estado,SA3051-08199,4ª,,,,
"Estudio en alquiler en Calle Gran Vía, 43, cerca de Calle de los Tudescos",Palacio (Distrito Centro. Madrid Capital),999,30,Anuncio actualizado el 06/10/2024,,,Alquiler,30 m²,,1,1,,Entre 20 y 30 años,En buen estado,21470141,2ª,,,,
Piso en alquiler en Chamberi,Trafalgar (Distrito Chamberí. Madrid Capital),1.400,72,Anuncio actualizado el 23/10/2024,,,Alquiler,72 m²,,2,1,,,En buen estado,XA24-2827-017417,3ª,,,,
Piso en alquiler en los Rosales,Los Rosales (Distrito Villaverde. Madrid Capital),880,44,Anuncio actualizado el 02/07/2024,,,Alquiler,44 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1764,Bajo,,,,
Piso en alquiler en Este,Sur-Este (Móstoles),800,75,Anuncio actualizado el 25/10/2024,,,Alquiler,75 m²,,1,1,,,En buen estado,XA24-2822-032289,6ª,,,,
Piso en alquiler en Golf - El Carralero,Golf-El Carralero (Majadahonda),1.200,65,Anuncio actualizado el 17/10/2024,,,Alquiler,65 m²,,2,1,,,En buen estado,XA24-2824-027976,,,,,
Piso en alquiler en Calle de San Juan de Ortega,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1.450,94,Anuncio actualizado el 27/10/2024,,,Alquiler,94 m²,59 m²,2,,,,,XA614-12616,2ª,,,,
Casa en alquiler en Fuente del Berro,Fuente del Berro (Distrito Salamanca. Madrid Capital),2.200,150,Anuncio actualizado el 14/10/2024,,,Alquiler,150 m²,,3,2,,,,IF77045-I-00L1G4-W-02WKPV,,,,,
Ático en alquiler en Rivas-Urbanizaciones,Rivas-Urbanizaciones (Rivas-Vaciamadrid),2.500,208,Anuncio actualizado el 16/09/2024,,,Alquiler,208 m²,,4,3,,Más de 50 años,,IF77045-I-00KU6A-W-02U2CA,4ª,,,,
"Piso en alquiler en Calle de la Virgen de la Cabeza, cerca de Avenida de Manuel Azaña",Las Conejeras-El Esparragal (Coslada),1.250,107,Anuncio actualizado el 24/10/2024,,,Alquiler,107 m²,,4,2,,,En buen estado,SA246-340802111686,2ª,,,,
Apartamento en alquiler en Palacio,Palacio (Distrito Centro. Madrid Capital),2.500,121,Anuncio actualizado el 22/10/2024,,,Alquiler,121 m²,,2,2,,Más de 50 años,,IF77045-I-00L1TV-W-02WQQB,3ª,,,,
Ático en alquiler en Somosaguas-Húmera-Los Ángeles,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),2.400,200,Anuncio actualizado el 28/10/2024,,,Alquiler,200 m²,120 m²,2,2,,Entre 10 y 20 años,En buen estado,SA3051-08055,2ª,,,,
Piso en alquiler en Centro,Cortes-Huertas (Distrito Centro. Madrid Capital),3.500,80,Anuncio actualizado el 17/09/2024,,,Alquiler,80 m²,,2,2,,,En buen estado,XA491-3860,2ª,,,,
Piso en alquiler en Palomeras Sureste,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),995,60,Anuncio actualizado el 22/10/2024,,,Alquiler,60 m²,,2,1,,,En buen estado,SA3458-2001/20010001/492,1ª,,,,
Chalet en alquiler en El Bosque,El Bosque (Villaviciosa de Odón),2.300,352,Anuncio actualizado el 04/10/2024,,,Alquiler,352 m²,315 m²,4,3,,Entre 30 y 50 años,,SA3689-EXP08154/8930,,,2.000 m²,,
Chalet pareado en alquiler en Conde Orgaz,Palacio (Distrito Centro. Madrid Capital),3.800,390,Anuncio actualizado el 21/10/2024,,,Alquiler,390 m²,,7,5,,Más de 50 años,,GM34-191584,,,390 m²,,
Chalet en alquiler en Zona Estación - Centro,Centro-Zona de la Estación (Tres Cantos),1.900,200,Anuncio actualizado el 27/10/2024,,,Alquiler,200 m²,,4,4,,,En buen estado,XA24-2807-031836,,,,,
Piso en alquiler en Calle Corredera Alta de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.790,39,Anuncio actualizado el 01/10/2024,,,Alquiler,39 m²,37 m²,1,1,,,,SA4312-ang_casp/9940,4ª,,,,
Piso en alquiler en Calle de Méndez Álvaro,Delicias (Distrito Arganzuela. Madrid Capital),1.550,77,Anuncio actualizado el 28/10/2024,,,Alquiler,77 m²,58 m²,2,,,,,XA614-12322,1ª,,,,
Piso en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),4.300,135,Anuncio actualizado el 21/05/2024,Consumo:82 kWh/m² año,Emisiones:16 Kg CO₂/m² año,Alquiler,135 m²,,2,2,,,,IF77045-I-00KV0D-W-02UEV6,,,,,
Piso en alquiler en Bellas Vistas,Bellas Vistas (Distrito Tetuán. Madrid Capital),800,58,Anuncio actualizado el 07/10/2024,,,Alquiler,58 m²,54 m²,2,1,,,En buen estado,4516598-3251/24,Bajo,,,,
Piso en alquiler en Mejorada del Campo,Mejorada del Campo,925,68,Anuncio actualizado el 30/09/2024,,,Alquiler,68 m²,,3,1,,,En buen estado,SA3458-2001/20010081/1,3ª,,,,
Piso en alquiler en Retiro,Jerónimos (Distrito Retiro. Madrid Capital),6.000,221,Anuncio actualizado el 26/10/2024,,,Alquiler,221 m²,,4,3,,,En buen estado,XA633-5574,5ª,,,,
Apartamento en alquiler en Guindalera,Guindalera (Distrito Salamanca. Madrid Capital),2.700,91,Anuncio actualizado el 28/10/2024,Consumo:186 kWh/m² año,Emisiones:38 Kg CO₂/m² año,Alquiler,91 m²,,2,2,,Más de 50 años,,IF77045-I-00L4AS-W-02XKFZ,5ª,,,,
Chalet en alquiler en Robledo de Chavela,Robledo de Chavela,1.500,210,Anuncio actualizado el 14/10/2024,,,Alquiler,210 m²,200 m²,3,3,,Entre 10 y 20 años,,VE92-121-00434,,,1.400 m²,,
"Casa en alquiler en Calle de Victoria Rubio, número .",Sector B (Boadilla del Monte),2.200,300,Anuncio actualizado el 12/10/2024,,,Alquiler,300 m²,200 m²,3,3,,,,EP442-789007,,,,,
Estudio en alquiler en Calle de la Beneficencia,Justicia-Chueca (Distrito Centro. Madrid Capital),1.300,37,Anuncio actualizado el 19/07/2024,,,Alquiler,37 m²,35 m²,2,1,,,,SA4312-seb_eb/9940,3ª,,,,
Piso en alquiler en Tetuan,Castillejos (Distrito Tetuán. Madrid Capital),2.950,121,Anuncio actualizado el 17/10/2024,,,Alquiler,121 m²,,3,3,,,En buen estado,XA24-2815-031733,4ª,,,,
Piso en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),2.200,47,Anuncio actualizado el 25/09/2024,,,Alquiler,47 m²,,1,1,,,En buen estado,XA491-4008,3ª,,,,
Apartamento en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),2.700,95,Anuncio actualizado el 16/10/2024,Consumo:176 kWh/m² año,Emisiones:37 Kg CO₂/m² año,Alquiler,95 m²,,2,2,,Más de 50 años,,IF77045-I-00L2SS-W-02WZ74,5ª,,,,
Casa en alquiler en Dehesa Vieja-Puente Cultural,Dehesa Vieja-Puente Cultural (San Sebastián de los Reyes),3.900,680,Anuncio actualizado el 22/07/2024,,,Alquiler,680 m²,,7,8,,,,IF77045-I-00KZJJ-W-02W1OA,,,1.013 m²,,
Piso en alquiler en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),2.600,209,Anuncio actualizado el 28/10/2024,,,Alquiler,209 m²,153 m²,4,2,,Más de 50 años,En buen estado,SA3051-08181,6ª,,,,
Apartamento en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),2.500,100,Anuncio actualizado el 15/10/2024,Consumo:217 kWh/m² año,Emisiones:42 Kg CO₂/m² año,Alquiler,100 m²,,2,1,,,,IF77045-I-00L2IC-W-02WY3C,5ª,,,,
Piso en alquiler en Puerta Bonita,Puerta Bonita (Distrito Carabanchel. Madrid Capital),950,52,Anuncio actualizado el 16/10/2024,,,Alquiler,52 m²,,2,1,,,En buen estado,SA4647-2201/22010039/231,2ª,,,,
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),940,58,Anuncio actualizado el 17/10/2024,,,Alquiler,58 m²,,2,1,,,En buen estado,SA3458-2001/20010001/341,2ª,,,,
Chalet adosado en alquiler en Soto de La Moraleja,Encinar de los Reyes (La Moraleja),4.200,366,Anuncio actualizado el 22/10/2024,,,Alquiler,366 m²,,6,6,,Más de 50 años,,GM34-136432,,,286 m²,,
Piso en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),3.500,155,Anuncio actualizado el 28/10/2024,,,Alquiler,155 m²,148 m²,2,2,,Más de 50 años,En buen estado,SA3051-08191,2ª,,,,
Apartamento en alquiler en Castillejos,Castillejos (Distrito Tetuán. Madrid Capital),1.450,69,Anuncio actualizado el 18/10/2024,Consumo:285 kWh/m² año,Emisiones:56 Kg CO₂/m² año,Alquiler,69 m²,,2,1,,,,IF77045-I-00L3ZF-W-02XGQU,,,,,
Piso en alquiler en Boadilla de Norte,Sector S (Boadilla del Monte),1.500,100,Anuncio actualizado el 10/10/2024,,,Alquiler,100 m²,,3,2,,,En buen estado,XA24-2820-009715,2ª,,,,
Apartamento en alquiler en Cuatro Caminos,Cuatro Caminos (Distrito Tetuán. Madrid Capital),2.700,117,Anuncio actualizado el 14/10/2024,Consumo:128 kWh/m² año,Emisiones:30 Kg CO₂/m² año,Alquiler,117 m²,,2,3,,Más de 50 años,,IF77045-I-00KZ24-W-02VV6J,,,,,
Piso en alquiler en Calle de San Blas,Humanes de Madrid,750,45,Anuncio actualizado el 09/10/2024,,,Alquiler,45 m²,40 m²,1,1,,Menos de 5 años,En buen estado,SA4901-2008,Bajo,,,,
Piso en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),1.015,72,Anuncio actualizado el 09/07/2024,,,Alquiler,72 m²,,3,1,,,En buen estado,SA3458-2001/20010001/361,2ª,,,,
Chalet en alquiler en Rivas-Vaciamadrid,Casco (Rivas-Vaciamadrid),1.700,160,Anuncio actualizado el 25/10/2024,,,Alquiler,160 m²,,4,3,,,En buen estado,XA24-2803-013472,,,,,
Ático en alquiler en Ciudad Jardín,Ciudad Jardín (Distrito Chamartín. Madrid Capital),2.600,140,Anuncio actualizado el 28/10/2024,,,Alquiler,140 m²,100 m²,3,2,,,En buen estado,SA3051-02689,5ª,,,,
Dúplex en alquiler en Lavapiés-Embajadores,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1.900,65,Anuncio actualizado el 25/09/2024,,,Alquiler,65 m²,60 m²,2,2,,Más de 50 años,,VE112-C0141-00303,,,,,
Piso en alquiler en Goya,Recoletos (Distrito Salamanca. Madrid Capital),4.200,180,Anuncio actualizado el 13/09/2024,,,Alquiler,180 m²,172 m²,4,3,,Más de 50 años,,VE112-C0141-00048,,,,,
Piso en alquiler en Malasaña-Universidad,Universidad-Malasaña (Distrito Centro. Madrid Capital),2.100,75,Anuncio actualizado el 28/09/2024,,,Alquiler,75 m²,65 m²,2,1,,Más de 50 años,,VE112-C0141-00175,,,,,
Piso en alquiler en Aravaca,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),2.200,140,Anuncio actualizado el 27/10/2024,,,Alquiler,140 m²,,3,2,,,,GM34-117707,,,,Exterior,
Piso en alquiler en Valdeacederas,El Encinar-Vista Nevada-La Quinta del Praderón (Galapagar),3.000,74,Anuncio actualizado el 13/09/2024,,,Alquiler,74 m²,70 m²,2,1,,Entre 30 y 50 años,,VE112-C0141-00353,,,,,
Piso en alquiler en Jerónimos,Jerónimos (Distrito Retiro. Madrid Capital),1.950,65,Anuncio actualizado el 17/09/2024,,,Alquiler,65 m²,,2,2,,,,XA491-1910,4ª,,,,
Apartamento en alquiler en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),2.050,51,Anuncio actualizado el 15/10/2024,Consumo:25 kWh/m² año,Emisiones:4 Kg CO₂/m² año,Alquiler,51 m²,,2,1,,Entre 20 y 30 años,,IF77045-I-00L3V8-W-02XEW7,,,,,
Piso en alquiler en Calle del Duque de Rivas,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),3.600,141,Anuncio actualizado el 21/05/2024,,,Alquiler,141 m²,,2,3,,Más de 50 años,,IF77045-I-00KS08-W-02TEAM,,,,,
Piso en alquiler en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),3.065,173,Anuncio actualizado el 25/09/2024,,,Alquiler,173 m²,,4,3,,,En buen estado,SA4647-2201/22010039/194,4ª,,,,
Piso en alquiler en Calle de Montesa,Goya (Distrito Salamanca. Madrid Capital),2.070,109,Anuncio actualizado el 11/06/2024,,,Alquiler,109 m²,95 m²,3,2,,,,SA4312-syp_mon5/9940,2ª,,,,
Chalet en alquiler en La Moraleja,Encinar de los Reyes (La Moraleja),12.250,574,Anuncio actualizado el 21/10/2024,,,Alquiler,574 m²,,6,8,,Más de 50 años,,GM34-148667,,,3 m²,,
Apartamento en alquiler en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),3.150,170,Anuncio actualizado el 10/10/2024,,,Alquiler,170 m²,,4,3,,,,IF77045-I-00L3OR-W-02XC3S,5ª,,,,
Apartamento en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),3.950,182,Anuncio actualizado el 16/09/2024,Consumo:296 kWh/m² año,Emisiones:60 Kg CO₂/m² año,Alquiler,182 m²,,2,2,,Más de 50 años,,IF77045-I-00L2U5-W-02X227,7ª,,,,
"Apartamento en alquiler en Calle de Hortaleza, cerca de Calle de Fuencarral",Justicia-Chueca (Distrito Centro. Madrid Capital),1.500,50,Anuncio actualizado el 21/05/2024,Consumo:141 kWh/m² año,Emisiones:24 Kg CO₂/m² año,Alquiler,50 m²,,1,1,,Más de 50 años,,IF77045-I-00KT5Z-W-02U1UU,,,,,
Ático en alquiler en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),2.600,135,Anuncio actualizado el 02/10/2024,,,Alquiler,135 m²,,2,2,,,,IF77045-I-00L3FP-W-02X041,8ª,,,,
Apartamento en alquiler en El Viso,El Viso (Distrito Chamartín. Madrid Capital),12.000,310,Anuncio actualizado el 29/07/2024,,,Alquiler,310 m²,,5,4,,,,IF77045-I-00L1FK-W-02WHF4,,,,,
